particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
0,32,0,-108.2341549582,155.3424184705,6653.1784686719,6653.1784686719,-1.2393781229,1.7788099799,5381.9214275652,0.354800004,0
0,13,0,-108.2341549582,155.3424184705,6653.1784686719,6653.1784686719,-0.494659898,0.5146906538,1931.7341604671,0.1056579949,-1
0,-13,0,-108.2341549582,155.3424184705,6653.1784686719,6653.1784686719,-0.7447182434,1.2641193527,3450.18734756,0.1056580082,1
1,32,0,-108.2341549582,155.3424184705,6555.9780778348,6555.9780778348,-1.2393781229,1.7788099799,5381.9214275652,0.354800004,0
1,13,0,-108.2341549582,155.3424184705,6555.9780778348,6555.9780778348,-0.4565711204,0.5594938354,1522.7306503776,0.1056579972,-1
1,-13,0,-108.2341549582,155.3424184705,6555.9780778348,6555.9780778348,-0.7828070211,1.2193161711,3859.1908576495,0.105658017,1
2,32,0,-108.2341549582,155.3424184705,17446.0924693993,17446.0924693993,-1.2393781229,1.7788099799,5381.9214275652,0.354800004,0
2,13,0,-108.2341549582,155.3424184705,17446.0924693993,17446.0924693993,-1.0691076996,1.3655667982,4239.4930830342,0.1056580434,-1
2,-13,0,-108.2341549582,155.3424184705,17446.0924693993,17446.0924693993,-0.1702704418,0.4132432084,1142.4284249929,0.1056580049,1
3,32,0,-108.2341549582,155.3424184705,13640.3102795404,13640.3102795404,-1.2393781229,1.7788099799,5381.9214275652,0.354800004,0
3,13,0,-108.2341549582,155.3424184705,13640.3102795404,13640.3102795404,-0.4863533056,0.5157120093,1581.7233457261,0.105658006,-1
3,-13,0,-108.2341549582,155.3424184705,13640.3102795404,13640.3102795404,-0.7530248358,1.2630979973,3800.198162301,0.1056579994,1
4,32,0,-108.2341549582,155.3424184705,13413.1376608882,13413.1376608882,-1.2393781229,1.7788099799,5381.9214275652,0.354800004,0
4,13,0,-108.2341549582,155.3424184705,13413.1376608882,13413.1376608882,-0.8372536293,1.3620661624,4103.4640531163,0.1056579905,-1
4,-13,0,-108.2341549582,155.3424184705,13413.1376608882,13413.1376608882,-0.4021245121,0.4167438441,1278.4574549108,0.1056580016,1
5,32,0,-108.2341549582,155.3424184705,15660.3878999044,15660.3878999044,-1.2393781229,1.7788099799,5381.9214275652,0.354800004,0
5,13,0,-108.2341549582,155.3424184705,15660.3878999044,15660.3878999044,-1.1127868261,1.5593994345,4597.4947138836,0.1056579553,-1
5,-13,0,-108.2341549582,155.3424184705,15660.3878999044,15660.3878999044,-0.1265913153,0.219410572,784.4267941435,0.105658001,1
6,32,0,-108.2341549582,155.3424184705,6703.8877734185,6703.8877734185,-1.2393781229,1.7788099799,5381.9214275652,0.354800004,0
6,13,0,-108.2341549582,155.3424184705,6703.8877734185,6703.8877734185,-0.9536209026,1.152455965,3608.8708037343,0.1056579994,-1
6,-13,0,-108.2341549582,155.3424184705,6703.8877734185,6703.8877734185,-0.2857572388,0.6263540415,1773.0507042928,0.105658006,1
7,32,0,-108.2341549582,155.3424184705,9734.2702375275,9734.2702375275,-1.2393781229,1.7788099799,5381.9214275652,0.354800004,0
7,13,0,-108.2341549582,155.3424184705,9734.2702375275,9734.2702375275,-0.1392039176,0.1637383062,558.8122484597,0.1056579994,-1
