particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
0,32,0,-377.2222192475,469.5274621884,480463.5409981195,480463.5409981195,-0.2186914486,0.2722046466,272.4785964568,0.3548,0
0,13,0,-377.2222192475,469.5274621884,480463.5409981195,480463.5409981195,-0.233265369,0.287911957,196.014140522,0.105658,-1
0,-13,0,-377.2222192475,469.5274621884,480463.5409981195,480463.5409981195,0.0145739204,-0.0157073104,76.4644559219,0.105658,1
1,32,0,-299.774693875,520.6782775012,732761.3469061173,732761.3469061173,-0.1667615595,0.2896479367,261.4561354503,0.3548,0
1,13,0,-299.774693875,520.6782775012,732761.3469061173,732761.3469061173,-0.0902831683,0.321420301,201.2773320215,0.1056579999,-1
1,-13,0,-299.774693875,520.6782775012,732761.3469061173,732761.3469061173,-0.0764783912,-0.0317723643,60.1788034348,0.105658,1
2,32,0,-381.7373102293,328.3124887809,480806.1726617492,480806.1726617492,-0.0684267657,0.0588503171,84.2479344614,0.3548,0
2,13,0,-381.7373102293,328.3124887809,480806.1726617492,480806.1726617492,-0.008211743,-0.1056101413,46.5618366433,0.105658,-1
2,-13,0,-381.7373102293,328.3124887809,480806.1726617492,480806.1726617492,-0.0602150227,0.1644604584,37.6860978179,0.105658,1
3,32,0,-340.8871352042,173.3046266433,385432.0840245109,385432.0840245109,-0.3859811725,0.1962301186,532.1736502204,0.3548,0
3,13,0,-340.8871352042,173.3046266433,385432.0840245109,385432.0840245109,-0.3670141865,0.0604455871,365.077157005,0.1056580002,-1
3,-13,0,-340.8871352042,173.3046266433,385432.0840245109,385432.0840245109,-0.018966986,0.1357845315,167.0964932182,0.105658,1
4,32,0,-243.9226226005,519.75045253,517416.7690982682,517416.7690982682,-0.0753671589,0.1605923817,145.2204977292,0.3548,0
4,13,0,-243.9226226005,519.75045253,517416.7690982682,517416.7690982682,0.0667456923,0.1695888488,63.5108293317,0.105658,-1
4,-13,0,-243.9226226005,519.75045253,517416.7690982682,517416.7690982682,-0.1421128512,-0.008996467,81.7096683973,0.105658,1
5,32,0,-381.7373102293,328.3124887809,70657.1122260193,70657.1122260193,-0.0684267657,0.0588503171,84.2479344614,0.3548,0
5,13,0,-381.7373102293,328.3124887809,70657.1122260193,70657.1122260193,-0.0386312393,-0.0713992434,15.1626686868,0.105658,-1
5,-13,0,-381.7373102293,328.3124887809,70657.1122260193,70657.1122260193,-0.0297955264,0.1302495605,69.0852657745,0.105658,1
6,32,0,-210.0459897677,279.3309262467,754300.239230358,754300.239230358,-0.1523017965,0.2025394626,340.7912925717,0.3548,0
6,13,0,-210.0459897677,279.3309262467,754300.239230358,754300.239230358,-0.0427682559,0.0275716885,36.0633561522,0.105658,-1
6,-13,0,-210.0459897677,279.3309262467,754300.239230358,754300.239230358,-0.1095335406,0.1749677741,304.7279363983,0.1056579999,1
7,32,0,-233.6060170724,303.7214314799,521518.9785086834,521518.9785086834,-0.1259790491,0.1637908886,253.4615923871,0.3548,0
