particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
0,32,0,-464.75012094,188.6611464501,9510.2383038373,9510.2383038373,-0.9643611827,0.3914737794,975.2547346662,0.3548000002,0
0,13,0,-464.75012094,188.6611464501,9510.2383038373,9510.2383038373,-0.1905254674,0.1857586002,214.1661349745,0.105658,-1
0,-13,0,-464.75012094,188.6611464501,9510.2383038373,9510.2383038373,-0.7738357158,0.2057151795,761.0886001723,0.1056579999,1
1,32,0,-106.6886171214,432.7668616028,1295.7517200642,1295.7517200642,-0.2666594673,1.0816653536,1174.7265358945,0.3548000004,0
1,13,0,-106.6886171214,432.7668616028,1295.7517200642,1295.7517200642,-0.1169182495,0.215477775,365.5416750474,0.105658,-1
1,-13,0,-106.6886171214,432.7668616028,1295.7517200642,1295.7517200642,-0.1497412176,0.8661875781,809.1848603202,0.1056579999,1
2,32,0,-324.9765136828,382.6498675319,13195.2382299175,13195.2382299175,-0.2026822515,0.2386521284,293.1309007898,0.3548,0
2,13,0,-324.9765136828,382.6498675319,13195.2382299175,13195.2382299175,-0.1154220305,-0.0142092633,156.713103126,0.105658,-1
2,-13,0,-324.9765136828,382.6498675319,13195.2382299175,13195.2382299175,-0.0872602209,0.2528613917,136.4177976694,0.105658,1
3,32,0,-251.9619615341,266.5604743919,16607.3272243557,16607.3272243557,-0.1211877418,0.1282092811,226.0588793723,0.3548,0
3,13,0,-251.9619615341,266.5604743919,16607.3272243557,16607.3272243557,-0.0969905203,-0.0486835296,145.9654800856,0.105658,-1
3,-13,0,-251.9619615341,266.5604743919,16607.3272243557,16607.3272243557,-0.0241972216,0.1768928107,80.0933992832,0.105658,1
4,32,0,-324.9765136828,382.6498675319,10351.7696753311,10351.7696753311,-0.2026822515,0.2386521284,293.1309007898,0.3548,0
4,13,0,-324.9765136828,382.6498675319,10351.7696753311,10351.7696753311,-0.0887674311,0.2579494273,230.7609370771,0.105658,-1
4,-13,0,-324.9765136828,382.6498675319,10351.7696753311,10351.7696753311,-0.1139148204,-0.0192972989,62.3699637183,0.105658,1
5,32,0,-283.9818322738,307.7088958334,8349.786241954,8349.786241954,-0.1527451645,0.1655072281,252.7986622353,0.3548,0
5,13,0,-283.9818322738,307.7088958334,8349.786241954,8349.786241954,-0.0443050605,-0.0564563109,46.8736951807,0.105658,-1
5,-13,0,-283.9818322738,307.7088958334,8349.786241954,8349.786241954,-0.108440104,0.221963539,205.9249670568,0.105658,1
6,32,0,-192.6909001889,225.0399777783,16688.1029832441,16688.1029832441,-0.1831267593,0.2138702025,446.6717255604,0.3547999999,0
6,13,0,-192.6909001889,225.0399777783,16688.1029832441,16688.1029832441,-0.0737479209,0.0199213975,295.4842449833,0.1056580002,-1
6,-13,0,-192.6909001889,225.0399777783,16688.1029832441,16688.1029832441,-0.1093788384,0.193948805,151.1874805763,0.1056580001,1
