particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
0,32,0,-408.7788285478,316.4915726195,494.1752634061,494.1752634061,-1.1192610847,0.8665730125,1286.8883442357,0.3547999997,0
0,13,0,-408.7788285478,316.4915726195,494.1752634061,494.1752634061,-0.3453187312,0.2809391151,306.7782556808,0.1056580001,-1
0,-13,0,-408.7788285478,316.4915726195,494.1752634061,494.1752634061,-0.7739423532,0.5856338971,980.1100881879,0.1056579999,1
1,32,0,-278.8097402993,472.5843240479,1838.3417574646,1838.3417574646,-0.6161577773,1.0443914419,1038.6801946912,0.3547999994,0
1,13,0,-278.8097402993,472.5843240479,1838.3417574646,1838.3417574646,-0.4503015864,0.5107761566,519.6881018045,0.1056580005,-1
1,-13,0,-278.8097402993,472.5843240479,1838.3417574646,1838.3417574646,-0.1658561907,0.5336152849,518.9920924612,0.1056579999,1
2,32,0,-175.9664019658,523.0058779638,210.1337595169,210.1337595169,-0.499800049,1.4855015534,1334.9481516237,0.3548000004,0
2,13,0,-175.9664019658,523.0058779638,210.1337595169,210.1337595169,-0.3499140426,0.6007925849,595.3335154345,0.1056579994,-1
2,-13,0,-175.9664019658,523.0058779638,210.1337595169,210.1337595169,-0.1498860069,0.8847089696,739.6146371885,0.105658001,1
3,32,0,-408.7788285478,316.4915726195,1243.0236494395,1243.0236494395,-1.1192610847,0.8665730125,1286.8883442357,0.3547999997,0
3,13,0,-408.7788285478,316.4915726195,1243.0236494395,1243.0236494395,-0.805219879,0.6587566426,827.0650801676,0.1056579999,-1
3,-13,0,-408.7788285478,316.4915726195,1243.0236494395,1243.0236494395,-0.3140412054,0.2078163696,459.823263701,0.1056580003,1
4,32,0,-175.9664019658,523.0058779638,1864.5968691293,1864.5968691293,-0.499800049,1.4855015534,1334.9481516237,0.3548000004,0
4,13,0,-175.9664019658,523.0058779638,1864.5968691293,1864.5968691293,-0.0283586173,0.1420622719,150.3179638331,0.1056579999,-1
4,-13,0,-175.9664019658,523.0058779638,1864.5968691293,1864.5968691293,-0.4714414321,1.3434392825,1184.6301887899,0.1056580005,1
5,32,0,-197.4875261604,308.119554834,2016.9492144345,2016.9492144345,-0.0518625652,0.0809158472,123.4275708481,0.3548,0
5,13,0,-197.4875261604,308.119554834,2016.9492144345,2016.9492144345,0.0075815729,0.086741949,107.4195803672,0.105658,-1
5,-13,0,-197.4875261604,308.119554834,2016.9492144345,2016.9492144345,-0.0594441381,-0.0058261018,16.007990481,0.105658,1
6,32,0,-221.6730362069,370.8207293168,1600.5425520626,1600.5425520626,-0.3644326237,0.6096328791,772.6845630299,0.3548000002,0
6,13,0,-221.6730362069,370.8207293168,1600.5425520626,1600.5425520626,-0.2118320163,0.4809555572,631.2073584446,0.1056579994,-1
6,-13,0,-221.6730362069,370.8207293168,1600.5425520626,1600.5425520626,-0.1526006074,0.1286773219,141.4772045487,0.105658,1
7,32,0,-278.8097402993,472.5843240479,1898.3494280697,1898.3494280697,-0.6161577773,1.0443914419,1038.6801946912,0.3547999994,0
7,13,0,-278.8097402993,472.5843240479,1898.3494280697,1898.3494280697,-0.0975175984,0.0841942247,146.1861977894,0.1056579999,-1
7,-13,0,-278.8097402993,472.5843240479,1898.3494280697,1898.3494280697,-0.5186401786,0.9601972168,892.4939964763,0.1056580016,1
8,32,0,-280.5826390304,479.5923416747,2528.2113465793,2528.2113465793,-0.2741030737,0.4685169953,459.1461719828,0.3547999999,0
