particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
0,32,0,-208.908433312,391.3857406191,22.3948491726,22.3948491726,-0.0877044557,0.1643125307,197.3165636904,0.3548,0
0,13,0,-208.908433312,391.3857406191,22.3948491726,22.3948491726,-0.0097663064,0.0334744765,19.9646854933,0.105658,-1
0,-13,0,-208.908433312,391.3857406191,22.3948491726,22.3948491726,-0.0779381494,0.1308380542,177.3518781958,0.105658,1
1,32,0,-186.564472617,163.9289966944,7977.739480043,7977.739480043,-0.1148318135,0.1008995106,289.2884780972,0.3548,0
1,13,0,-186.564472617,163.9289966944,7977.739480043,7977.739480043,-0.0956317327,-0.0376414783,215.2479945212,0.1056580001,-1
1,-13,0,-186.564472617,163.9289966944,7977.739480043,7977.739480043,-0.0192000808,0.1385409889,74.0404835765,0.105658,1
2,32,0,-128.7760168751,322.0686658318,3425.3398288775,3425.3398288775,-0.0960043594,0.2401067893,350.3917113084,0.3548,0
2,13,0,-128.7760168751,322.0686658318,3425.3398288775,3425.3398288775,-0.1951704845,0.1360086879,201.2876407152,0.105658,-1
2,-13,0,-128.7760168751,322.0686658318,3425.3398288775,3425.3398288775,0.099166125,0.1040981014,149.1040705878,0.105658,1
3,32,0,-303.3629195662,161.5948330526,17501.4545475084,17501.4545475084,-0.144673614,0.0770644894,224.1427484927,0.3548,0
3,13,0,-303.3629195662,161.5948330526,17501.4545475084,17501.4545475084,-0.0759497393,0.1729499586,96.6208268699,0.105658,-1
3,-13,0,-303.3629195662,161.5948330526,17501.4545475084,17501.4545475084,-0.0687238748,-0.0958854692,127.5219216229,0.105658,1
4,32,0,-446.737048017,166.6934659674,4891.3252340555,4891.3252340555,-0.9555712151,0.3565575735,1005.3307042047,0.3547999999,0
4,13,0,-446.737048017,166.6934659674,4891.3252340555,4891.3252340555,-0.1779938527,0.0029536233,141.9492392635,0.105658,-1
4,-13,0,-446.737048017,166.6934659674,4891.3252340555,4891.3252340555,-0.7775773624,0.3536039502,863.381464897,0.1056579999,1
5,32,0,-186.564472617,163.9289966944,16539.8260570337,16539.8260570337,-0.1148318135,0.1008995106,289.2884780972,0.3548,0
5,13,0,-186.564472617,163.9289966944,16539.8260570337,16539.8260570337,-0.1132358229,0.1699290581,234.4356387807,0.105658,-1
5,-13,0,-186.564472617,163.9289966944,16539.8260570337,16539.8260570337,-0.0015959906,-0.0690295475,54.852839317,0.105658,1
6,32,0,-331.4503409513,293.7208396716,3144.8277082888,3144.8277082888,-0.1775082507,0.157302214,251.7085292863,0.3548,0
6,13,0,-331.4503409513,293.7208396716,3144.8277082888,3144.8277082888,-0.0650234213,0.220653467,128.9688958552,0.105658,-1
6,-13,0,-331.4503409513,293.7208396716,3144.8277082888,3144.8277082888,-0.1124848294,-0.063351253,122.7396334356,0.105658,1
7,32,0,-449.526606751,516.042610979,6332.721612261,6332.721612261,-0.6264935451,0.7191951709,655.02678096,0.3548000001,0
7,13,0,-449.526606751,516.042610979,6332.721612261,6332.721612261,-0.4108152449,0.6337006467,495.8095298332,0.105658,-1
7,-13,0,-449.526606751,516.042610979,6332.721612261,6332.721612261,-0.2156783003,0.0854945243,159.2172512534,0.105658,1
8,32,0,-261.9179655753,157.9611083929,2507.8986472296,2507.8986472296,-1.2114539226,0.7306203832,2173.8995352202,0.3548,0
8,13,0,-261.9179655753,157.9611083929,2507.8986472296,2507.8986472296,-0.1128707043,0.0659452293,290.605156871,0.1056580001,-1
8,-13,0,-261.9179655753,157.9611083929,2507.8986472296,2507.8986472296,-1.0985832198,0.6646751548,1883.2943810079,0.1056579994,1
9,32,0,-446.737048017,166.6934659674,9347.462362133,9347.462362133,-0.9555712151,0.3565575735,1005.3307042047,0.3547999999,0
9,13,0,-446.737048017,166.6934659674,9347.462362133,9347.462362133,-0.188681053,0.1774032241,309.0689261726,0.105658,-1
9,-13,0,-446.737048017,166.6934659674,9347.462362133,9347.462362133,-0.766890162,0.1791543494,696.261777988,0.105658001,1
10,32,0,-208.908433312,391.3857406191,5565.8783182068,5565.8783182068,-0.0877044557,0.1643125307,197.3165636904,0.3548,0
10,13,0,-208.908433312,391.3857406191,5565.8783182068,5565.8783182068,-0.0709716129,-0.0295374318,124.919137488,0.105658,-1
10,-13,0,-208.908433312,391.3857406191,5565.8783182068,5565.8783182068,-0.0167328428,0.1938499625,72.3974262011,0.105658,1
11,32,0,-233.2479068997,220.4555599276,7147.1552499676,7147.1552499676,-0.086214699,0.0814863035,173.7246393581,0.3548,0
11,13,0,-233.2479068997,220.4555599276,7147.1552499676,7147.1552499676,-0.1179426261,-0.0653591004,111.546931257,0.105658,-1
11,-13,0,-233.2479068997,220.4555599276,7147.1552499676,7147.1552499676,0.0317279272,0.1468454039,62.1777080974,0.105658,1
12,32,0,-331.4503409513,293.7208396716,8953.625411073,8953.625411073,-0.1775082507,0.157302214,251.7085292863,0.3548,0
